Lab Number,Site Name,Site,Sample Identification,pH,NA,OM,Bray_IP,CA_lb,Mg_lb,K_lb,CEC_lb,Texture,Sand,Silt,Clay
C1911837,SNR-Trailhouse-1990-1,Old,1,6,2,4,13,2944,798,193,12.9,Silt loam,17.5,72.5,10
C1909127,SNR-Trailhouse-1990-2,Old,2,5.6,2.5,2.2,19,1052,491,160,7.4,Silt loam,15,75,10
C1909128,SNR-Trailhouse-1990-3,Old,3,5,4.5,3,28,1104,363,181,9,Silt loam,12.5,80,7.5
C1909129,SNR-Trailhouse-1990-4,Old,4,5.5,3,2.7,20,1160,449,152,8,Silt loam,17.5,72.5,10
C1909130,SNR-Dana Brown-2001-1,Intermediate,1,5.7,2.5,3.4,30,1375,403,222,7.9,Silt loam,15,77.5,7.5
C1909131,SNR-Dana Brown-2001-2,Intermediate,2,5,4,2.4,36,883,292,204,7.7,Silt loam,12.5,80,7.5
C1909132,SNR-Dana Brown-2001-3,Intermediate,3,4.8,4.5,2.5,27,561,323,187,7.5,Silt ,10,82.5,7.5
C1909133,SNR-Dana Brown-2001-4,Intermediate,4,5.4,4.5,4.3,27,1751,621,229,11.8,Silt ,10,82.5,7.5
C1909134,SNR-MortonEast-2016-1,Young,1,4.6,6.5,2.6,16,804,379,148,10.3,Silt loam,15,75,10
C1909135,SNR-MortonEast-2016-2,Young,2,5.5,3,2.9,20,1288,426,139,8.2,Silt loam,12.5,80,7.5
C1909136,SNR-MortonEast-2016-3,Young,3,5.4,3.5,3,13,1365,609,114,9.6,Silt loam,20,67.5,12.5
C1909137,SNR-MortonEast-2016-4,Young,4,5.3,3.5,3,15,1074,736,128,9.4,Silt loam,12.5,80,7.5